Head	Tape	Revres
1	1	103.66
1	1	103.81
1	2	106.75
1	2	105.45
1	3	104.91
1	3	104.31
1	4	103.99
1	4	104.92
1	5	105.17
1	5	104.64
1	6	104.65
1	6	104.25
2	1	100.07
2	1	100.23
2	2	101.26
2	2	101.1
2	3	99.62
2	3	100.2
2	4	100.99
2	4	101.17
2	5	100.72
2	5	101.2
2	6	99.97
2	6	100.12
3	1	103.68
3	1	102.89
3	2	105.11
3	2	104.91
3	3	102.27
3	3	101.93
3	4	103.66
3	4	104.32
3	5	107.1
3	5	108.11
3	6	103.94
3	6	102.86
4	1	103.54
4	1	103.19
4	2	103.62
4	2	104.66
4	3	103.12
4	3	103.37
4	4	103.33
4	4	103.63
4	5	104.12
4	5	104.11
4	6	103.45
4	6	103.19
5	1	100.76
5	1	100.35
5	2	100.41
5	2	100.65
5	3	100.63
5	3	100.77
5	4	103.68
5	4	102.28
5	5	101.81
5	5	100.49
5	6	100.11
5	6	99.57
6	1	99.12
6	1	98.55
6	2	100.64
6	2	99.76
6	3	100.54
6	3	100.36
6	4	102.6
6	4	102.68
6	5	99.88
6	5	100.02
6	6	100.18
6	6	100.33
7	1	100.17
7	1	99.81
7	2	98.82
7	2	97.53
7	3	98
7	3	97.45
7	4	101.94
7	4	101.15
7	5	99.12
7	5	99.12
7	6	97.86
7	6	97.67
8	1	102.19
8	1	102.36
8	2	104.88
8	2	103.49
8	3	103.8
8	3	103.54
8	4	104.3
8	4	104.48
8	5	103.21
8	5	102.81
8	6	103.6
8	6	103
9	1	96.89
9	1	96.08
9	2	97.71
9	2	97.51
9	3	97.77
9	3	97.4
9	4	99.85
9	4	99.76
9	5	97.76
9	5	97.38
9	6	96.84
9	6	96.54
